study_words,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
tata,,0,0,0,6,,,,,44.04105349999736,44.04105349999736,1.0555555555555556,6.350112600019202,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
table ,,0,1,1,12,,,,,50.43316519999644,50.43316519999644,1.0444444444444445,1.8661798000102863,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
marble ,,0,2,2,10,,,,,52.366002599999774,52.366002599999774,1.3444444444444446,2.4925312000268605,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
book,,0,3,3,2,,,,,54.94843509999919,54.94843509999919,1,1.8331062000070233,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
piano,,0,4,4,4,,,,,56.847380299994256,56.847380299994256,2.0944444444444446,1.8589568999886978,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
clock,,0,5,5,14,,,,,58.79739189997781,58.79739189997781,1,1.3105120999971405,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
cushion,,0,6,6,3,,,,,60.19702839999809,60.19702839999809,1.0333333333333334,1.468955799995456,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
queen,,0,7,7,8,,,,,61.72934900000109,61.72934900000109,1.288888888888889,2.0317243000026792,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
tube,,0,8,8,5,,,,,63.86264959999244,63.86264959999244,2.6277777777777778,2.291355900000781,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
phone ,,0,9,9,9,,,,,66.22864970000228,66.22864970000228,1.8666666666666667,1.5281033999926876,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
vase ,,0,10,10,0,,,,,67.79389390000142,67.79389390000142,2.6222222222222222,2.5463717999809887,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
needle ,,0,11,11,11,,,,,70.460531299992,70.460531299992,1.2222222222222223,2.0656621000089217,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
mouse,,0,12,12,7,,,,,72.59357369999634,72.59357369999634,1.1222222222222222,1.6362404999963474,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
chair ,,0,13,13,13,,,,,74.30805550000514,74.30805550000514,1.1222222222222222,1.062075800000457,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
tiger,,0,14,14,1,,,,,75.47549169999547,75.47549169999547,1.1222222222222222,1.21451259998139,,,,,,,,,,,,,6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
