study_words,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,t_g_r,,,,,0,0,0,1,,,,,76.75852000000305,76.75852000000305,76.75852000000305,0.03726489999098703,tiger,[-0.058333333333333334],[-0.32222222222222224],[1],[0],[0],[6.500362199993106],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,p_st_y,,,,,0,1,1,10,,,,,83.2902176999778,83.2902176999778,83.2902176999778,0.016040099988458678,post,[],[],[],[],[],[],[],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,_oo_,,,,,0,2,2,2,,,,,93.30371330000344,93.30371330000344,93.30371330000344,0.03388860000995919,pooh,[-0.058333333333333334],[-0.32222222222222224],[1],[0],[0],[5.294571699982043],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,_o_s_,,,,,0,3,3,7,,,,,98.61893490000512,98.61893490000512,98.61893490000512,0.010302700015017763,loose,[-0.058333333333333334],[-0.32222222222222224],[1],[0],[0],[5.192273299995577],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,t_t_,,,,,0,4,4,6,,,,,103.8171065999777,103.8171065999777,103.8171065999777,0.011059100012062117,tata,[-0.058333333333333334],[-0.32222222222222224],[1],[0],[0],[7.249661899986677],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,q__en,,,,,0,5,5,8,,,,,111.08131310000317,111.08131310000317,111.08131310000317,0.01112379998085089,queen,[-0.06666666666666667],[-0.30694444444444446],[1],[0],[0],[3.6682828000048175],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,_r__k,,,,,0,6,6,12,,,,,114.78092389999074,114.78092389999074,114.78092389999074,0.014430700015509501,break,[-0.09444444444444444],[-0.29305555555555557],[1],[0],[0],[6.210738099995069],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,c_rt__ns,,,,,0,7,7,13,,,,,120.9951180999924,120.9951180999924,120.9951180999924,0.010826700017787516,cartoons,[-0.1388888888888889],[-0.32083333333333336],[1],[0],[0],[4.51662639999995],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,s__p,,,,,0,8,8,11,,,,,125.54338699998334,125.54338699998334,125.54338699998334,0.009507700015092269,soup,[-0.10833333333333334],[-0.31527777777777777],[1],[0],[0],[4.07111759998952],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,_ia__,,,,,0,9,9,4,,,,,129.59349889997975,129.59349889997975,129.59349889997975,0.006187599996337667,piano,[-0.10833333333333334],[-0.31527777777777777],[1],[0],[0],[4.590578999981517],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,_a_e,,,,,0,10,10,0,,,,,134.2259981999814,134.2259981999814,134.2259981999814,0.012538000009953976,,[],[],[],[],[],[],[],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,n_n_,,,,,0,11,11,14,,,,,144.2211079999979,144.2211079999979,144.2211079999979,0.026410799997393042,nono,[-0.07083333333333333],[-0.29583333333333334],[1],[0],[0],[6.186595599981956],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,c_s_i_n,,,,,0,12,12,3,,,,,150.43557909998344,150.43557909998344,150.43557909998344,0.010029900004155934,cusion,"[-0.09166666666666666, -0.06111111111111111]","[-0.3375, -0.31805555555555554]","[1, 1]","[0, 0]","[0, 0]","[8.460784499999136, 9.712159399990924]",['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,p_o_e,,,,,0,13,13,9,,,,,160.16612409998197,160.16612409998197,160.16612409998197,0.01380549999885261,p,[],[],[],[],[],[],[],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
,t_b_,,,,,0,14,14,5,,,,,170.14521990000503,170.14521990000503,170.14521990000503,0.011504499998409301,tube,[-0.06111111111111111],[-0.31805555555555554],[1],[0],[0],[6.1609411999816075],['text_3'],6,001,2023-10-04_17h10.13.705,wordpriming,2023.1.3,59.637546841679374,
